date,name,cases_rolling,facebook_mobility_score
2020-01-18,Randwick (C),0.0,
2020-01-18,Ryde (C),0.0,
2020-01-18,Strathfield (A),0.0,
2020-01-18,Sydney (C),0.0,
2020-01-18,The Hills Shire (A),0.0,
2020-01-18,Waverley (A),0.0,
2020-01-18,Willoughby (C),0.0,
2020-01-18,Woollahra (A),0.0,
2020-01-18,all,0.0,
2020-01-18,highSE,0.0,
2020-01-18,lowSE,0.0,
2020-01-18,midSE,0.0,
2020-01-19,Bayside (A),0.0,
2020-01-19,Blacktown (C),0.0,
2020-01-19,Burwood (A),0.0,
2020-01-19,Camden (A),0.0,
2020-01-19,Canada Bay (A),0.0,
2020-01-19,Canterbury-Bankstown (A),0.0,
2020-01-19,Central Coast (C) (NSW),0.0,
2020-01-19,Cumberland (A),0.0,
2020-01-19,Fairfield (C),0.0,
2020-01-19,Georges River (A),0.0,
2020-01-19,Hawkesbury (C),0.0,
2020-01-19,Hornsby (A),0.0,
2020-01-19,Hunters Hill (A),0.0,
2020-01-19,Inner West (A),0.0,
2020-01-19,Ku-ring-gai (A),0.0,
2020-01-19,Lane Cove (A),0.0,
2020-01-19,Liverpool (C),0.0,
2020-01-19,Mosman (A),0.0,
2020-01-19,North Sydney (A),0.0,
2020-01-19,Northern Beaches (A),0.0,
2020-01-19,Parramatta (C),0.0,
2020-01-19,Penrith (C),0.0,
2020-01-19,Randwick (C),0.0,
2020-01-19,Ryde (C),0.0,
2020-01-19,Strathfield (A),0.0,
2020-01-19,Sydney (C),0.0,
2020-01-19,The Hills Shire (A),0.0,
2020-01-19,Waverley (A),0.0,
2020-01-19,Willoughby (C),0.0,
2020-01-19,Woollahra (A),0.0,
2020-01-19,all,0.0,
2020-01-19,highSE,0.0,
2020-01-19,lowSE,0.0,
2020-01-19,midSE,0.0,
2020-01-20,Bayside (A),0.0,
2020-01-20,Blacktown (C),0.0,
2020-01-20,Burwood (A),0.0,
2020-01-20,Camden (A),0.0,
2020-01-20,Canada Bay (A),0.0,
2020-01-20,Canterbury-Bankstown (A),0.0,
2020-01-20,Central Coast (C) (NSW),0.0,
2020-01-20,Cumberland (A),0.0,
2020-01-20,Fairfield (C),0.0,
2020-01-20,Georges River (A),0.0,
2020-01-20,Hawkesbury (C),0.0,
2020-01-20,Hornsby (A),0.0,
